Episode,Total Reward,Final Loss
1,-3.4,1.1282
10,-0.8,5.7957
20,4.5,0.7701
30,-3.4,3.8393
40,0.5,0.4889
50,5.9,7.9622
60,1.9,4.4857
70,5.9,-1.3815
80,12.6,-1.6056
90,5.9,0.0156
100,11.3,-1.0530
110,5.9,0.4208
120,15.3,5.5027
130,15.3,1.1817
140,8.6,5.4131
1,5.9,0.0260
10,5.9,2.2757
20,0.6,1.9913
30,0.6,0.5419
40,-0.7,-1.3429
50,11.3,-1.4973
60,1.9,0.6067
70,3.2,-0.5981
80,4.6,6.6730
90,12.6,0.5743
100,9.9,2.2593
110,12.6,2.1606
120,8.6,6.4338
130,11.3,1.1294
140,15.3,0.2330
150,18.0,-1.4720
160,15.3,2.8805
170,15.3,-1.2848
180,15.3,-0.9651
190,9.9,3.2033
200,9.9,-1.4313
210,12.6,1.9513
220,15.3,2.4472
230,15.3,3.8810
240,15.3,-0.1261
250,15.3,1.6618
260,11.3,1.7190
270,15.3,1.2292
280,15.3,-0.6069
290,8.6,5.8342
300,12.6,4.1055
310,12.6,6.0372
320,12.6,3.2916
330,11.3,-1.2706
340,8.6,-0.6927
350,18.0,-0.9186
360,10.0,3.8146
370,12.6,3.8872
380,5.9,3.9861
390,18.0,-0.3232
400,12.6,1.9671
410,15.3,0.9557
420,15.3,2.6212
430,15.3,-0.0840
440,12.6,-0.4509
450,15.3,0.1336
460,15.3,0.8205
470,11.3,6.3252
480,14.0,7.0654
490,15.3,0.5780
500,12.6,2.9390
510,15.3,1.4816
520,14.0,10.8528
530,15.3,3.1456
540,9.9,4.2053
550,18.0,-0.4002
560,15.3,3.0701
570,15.3,1.7666
580,15.3,1.0278
590,15.3,1.3191
600,12.6,2.9770
610,15.3,0.1243
620,12.6,5.5615
630,18.0,0.7270
640,15.3,3.8451
650,15.3,4.0122
660,18.0,1.4007
670,12.6,5.5382
680,15.3,3.2212
690,15.3,1.5436
700,12.6,2.7796
710,12.6,4.6638
720,12.6,0.9902
730,12.6,5.6327
740,15.3,2.0863
750,15.3,-0.1038
760,15.3,4.3902
770,15.3,5.5796
780,12.6,7.0729
790,12.6,4.7381
800,9.9,1.5136
810,9.9,4.1193
820,15.3,-0.2083
830,9.9,4.3405
840,15.3,-0.9695
850,12.6,1.4038
860,12.6,-0.5469
870,15.3,1.0951
880,12.6,1.0602
890,12.6,1.9785
900,15.3,-0.5757
910,9.9,8.4552
920,9.9,3.4218
930,12.6,5.4503
940,15.3,-0.0313
950,9.9,2.4492
960,11.3,14.9441
970,12.6,4.7667
980,15.3,-0.2260
990,15.3,2.7779
1000,15.3,3.6349
1010,12.6,2.8080
1020,12.6,2.3825
1030,12.6,8.6955
1040,9.9,8.5500
1050,12.6,1.9631
1060,9.9,3.4917
1070,12.6,5.3776
1080,12.6,3.8484
1090,12.6,5.2041
1100,12.6,6.0316
1110,12.6,5.8123
1120,9.9,3.5575
1130,12.6,6.8052
1140,9.9,3.1189
1150,15.3,-0.8161
1160,15.3,3.1673
1170,15.3,1.0776
1180,12.6,2.7741
1190,15.3,1.6933
1200,15.3,2.1731
1210,15.3,0.0375
1220,12.6,2.5474
1230,12.6,6.2557
1240,15.3,0.1140
1250,9.9,2.7976
1260,12.6,3.2721
1270,9.9,3.7891
1280,14.0,4.4268
1290,12.6,1.0907
1300,15.3,3.5357
1310,12.6,6.0358
1320,9.9,4.3542
1330,9.9,1.9244
1340,15.3,1.3199
1350,12.6,1.4502
1360,9.9,2.7868
1370,12.6,6.8472
1380,12.6,2.2520
1390,9.9,5.7385
1400,15.3,1.2790
1410,15.3,1.9972
1420,12.6,3.9379
1430,15.3,1.2768
1440,12.6,4.3947
1450,12.6,-0.7567
1460,18.0,-0.1853
1470,12.6,4.5705
1480,12.6,4.5065
1490,12.6,-0.6938
1500,12.6,2.0983
1510,15.3,1.6979
1520,15.3,2.8737
1530,12.6,4.0859
1540,8.6,3.6422
1550,12.6,2.7207
1560,12.6,4.2331
1570,15.3,2.8618
1580,9.9,6.2240
1590,9.9,3.9818
1600,12.6,4.8853
1610,18.0,-0.0798
1620,18.0,0.3924
1630,12.6,-0.1420
1640,15.3,-0.3913
1650,12.6,4.3108
1660,15.3,-0.1340
1670,15.3,3.6913
1680,12.6,7.0728
1690,12.6,6.1660
1700,15.3,5.1628
1710,15.3,-0.1098
1720,15.3,4.5800
1730,12.6,2.4838
1740,12.6,1.1081
1750,18.0,4.4622
1760,12.6,5.5219
1770,12.6,3.9690
1780,18.0,4.1742
1790,15.3,2.9039
1800,15.3,3.0471
1810,15.3,2.4263
1820,12.6,0.0479
1830,12.6,1.9293
1840,15.3,4.9522
1850,12.6,6.0800
1860,9.9,4.3571
1870,18.0,-0.7291
1880,12.6,4.1868
1890,15.3,5.7387
1900,15.3,2.8578
1910,12.6,4.2996
1920,11.3,1.0525
1930,12.6,0.7468
1940,12.6,4.1120
1950,12.6,7.7844
1960,15.3,3.9714
1970,12.6,7.0205
1980,12.6,4.2065
1990,15.3,0.7040
2000,12.6,5.7758
2010,12.6,6.1819
2020,12.6,2.2351
2030,12.6,5.9080
2040,12.6,6.7798
2050,15.3,2.6725
2060,18.0,5.5414
2070,12.6,0.5520
2080,12.6,0.5628
2090,12.6,2.8484
2100,12.6,2.0363
2110,15.3,3.3600
2120,15.3,1.1573
2130,15.3,2.1751
2140,12.6,1.8507
2150,12.6,3.1468
2160,18.0,0.3714
2170,15.3,-0.2214
2180,9.9,6.9086
2190,15.3,3.7783
2200,9.9,4.5651
2210,9.9,3.4589
2220,15.3,0.0491
2230,9.9,4.4745
2240,12.6,3.0470
2250,9.9,5.4721
2260,18.0,3.6584
2270,12.6,10.5928
2280,12.6,4.0042
2290,15.3,8.2170
2300,15.3,0.5461
2310,12.6,7.5233
2320,15.3,5.4871
2330,15.3,4.1364
2340,12.6,3.7384
2350,12.6,0.2836
2360,12.6,3.7383
2370,15.3,1.9491
2380,12.6,0.6198
2390,15.3,0.8982
2400,15.3,0.6227
2410,15.3,2.9381
2420,12.6,3.4592
2430,15.3,2.7171
2440,18.0,1.1444
2450,18.0,-0.1602
2460,15.3,6.0694
2470,12.6,-0.8039
2480,12.6,0.9107
2490,18.0,-0.0477
2500,12.6,6.2283
2510,15.3,2.5273
2520,15.3,-0.2496
2530,15.3,4.9615
2540,15.3,-0.3214
2550,12.6,2.8482
2560,15.3,0.2740
2570,12.6,2.5244
2580,15.3,1.1309
2590,12.6,3.1710
2600,12.6,4.2247
2610,15.3,2.5441
2620,12.6,4.1049
2630,18.0,0.7259
2640,9.9,6.6706
2650,9.9,4.4273
2660,15.3,3.4807
2670,15.3,0.4120
2680,18.0,3.1042
2690,15.3,2.1068
2700,15.3,6.3489
2710,15.3,1.6838
2720,12.6,0.2957
2730,15.3,4.1766
2740,12.6,4.5452
2750,12.6,0.9041
2760,15.3,3.7193
2770,15.3,1.2030
2780,12.6,4.1629
2790,9.9,6.0766
2800,15.3,-0.7637
2810,15.3,1.7502
2820,15.3,6.0537
2830,9.9,4.8548
2840,12.6,0.2629
2850,12.6,3.2371
2860,9.9,7.4929
2870,15.3,4.6887
2880,12.6,5.6286
2890,12.6,10.6194
2900,9.9,7.7210
2910,15.3,2.1432
2920,12.6,0.2365
2930,8.6,1.7938
2940,12.6,3.0424
2950,12.6,2.1919
2960,15.3,1.3165
2970,12.6,3.7637
2980,15.3,-0.1069
2990,15.3,5.4155
3000,15.3,6.0978
3010,12.6,2.1506
3020,12.6,4.4423
3030,12.6,1.0325
3040,18.0,2.2632
3050,12.6,3.0917
3060,12.6,5.5818
3070,15.3,0.5059
3080,12.6,3.4659
3090,12.6,5.9624
3100,12.6,5.3095
3110,18.0,2.9770
3120,12.6,6.2628
3130,15.3,5.6784
3140,12.6,0.7865
3150,12.6,3.0851
3160,18.0,0.0732
3170,15.3,7.9792
3180,18.0,4.5438
3190,9.9,7.8613
3200,15.3,4.1828
3210,12.6,3.6593
3220,15.3,1.2572
3230,12.6,-0.3226
3240,12.6,1.3608
3250,18.0,-0.3693
3260,15.3,2.4720
3270,15.3,4.6964
3280,18.0,2.1185
3290,12.6,1.9574
3300,18.0,-0.0567
3310,15.3,3.6923
3320,15.3,-0.6119
3330,12.6,4.2441
3340,15.3,0.0545
3350,15.3,7.1751
3360,18.0,0.0958
3370,15.3,3.7474
3380,12.6,4.0587
3390,9.9,4.4402
3400,12.6,0.2888
3410,12.6,5.9459
3420,15.3,5.4418
3430,12.6,3.8589
3440,18.0,0.2495
3450,12.6,-0.5114
3460,15.3,3.5442
3470,12.6,9.4047
3480,9.9,8.3263
3490,12.6,7.5112
3500,15.3,5.1664
3510,15.3,5.2934
3520,18.0,3.7198
3530,12.6,3.2752
3540,18.0,4.2132
3550,12.6,8.5901
3560,18.0,1.1129
3570,18.0,1.1939
3580,15.3,1.2772
3590,15.3,-0.7979
3600,12.6,5.7883
3610,15.3,2.3353
3620,12.6,5.1923
3630,12.6,8.3143
3640,15.3,0.1631
3650,12.6,2.1288
3660,15.3,4.3555
3670,18.0,-0.0960
3680,15.3,5.1268
3690,15.3,6.0779
3700,12.6,4.8920
3710,15.3,-0.7396
3720,15.3,3.6792
3730,15.3,6.5090
3740,11.3,0.3034
3750,15.3,3.9678
3760,12.6,6.4002
3770,12.6,1.6596
3780,15.3,1.0261
3790,12.6,5.0007
3800,15.3,4.2339
3810,12.6,-0.4727
3820,12.6,4.1492
3830,12.6,0.2048
3840,12.6,5.5469
3850,15.3,-0.1688
3860,18.0,-0.2317
3870,12.6,2.3334
3880,12.6,4.2427
3890,15.3,0.2625
3900,18.0,7.3257
3910,15.3,5.7424
3920,9.9,4.5618
3930,15.3,6.7262
3940,12.6,10.9279
3950,15.3,2.7289
3960,9.9,5.4978
3970,9.9,2.9047
3980,12.6,2.5641
3990,12.6,-0.1723
4000,12.6,3.7694
